,Preço do aluguel (escala log)
9317,6.966024187106113
856,6.2878585601617845
1926,5.918893854273146
28652,4.51085950651685
15031,6.478509642208569
26453,5.176149732573829
18319,6.593044534142437
20431,7.59890045687141
8227,5.525452939131784
13430,6.037870919922137
16987,5.525452939131784
16349,5.662960480135946
19633,7.747596838692885
44,5.846438775057725
2812,6.85751406254539
25535,6.089044875446846
21731,7.353081920515432
7924,6.016157159698354
21462,5.438079308923196
21466,6.16541785423142
19319,5.924255797414532
14111,7.438971592395862
14857,5.811140992976701
28541,5.783825182329737
23436,5.272999558563747
18918,6.400257445308821
24727,4.997212273764115
12291,6.816735880594968
585,6.505784060128229
4978,6.2166061010848646
22316,5.659482215759621
6435,6.042632833682381
27410,5.5093883366279774
29196,4.882801922586371
25284,5.476463551931511
20838,5.472270673671475
11121,6.1463292576688975
200,5.811140992976701
20532,5.198497031265826
4563,5.517452896464707
11925,6.423246963533519
17596,6.418364935936212
10152,5.521460917862246
2051,5.198497031265826
6293,6.111467339502679
29424,5.953243334287785
17171,5.25227342804663
22153,5.293304824724492
12829,5.973809611869261
16228,5.53338948872752
4825,8.033009498596668
3533,5.924255797414532
10664,7.634820677745543
19514,5.4638318050256105
2264,5.707110264748875
1232,5.517452896464707
16564,5.41164605185504
19339,6.933423025730715
23120,7.00397413672268
19984,5.713732805509369
9676,5.170483995038151
3926,5.857933154483459
2536,6.720220155135295
5597,6.0112671744041615
18475,4.875197323201151
17230,6.735780014242327
9426,5.572154032177765
12107,5.41610040220442
23008,5.82600010738045
17676,6.169610732491456
10191,7.090909822079984
21152,6.855408798609928
7691,4.77912349311153
12259,6.825460036255307
24121,5.746203190540153
9226,6.363028103540465
11021,6.282266746896006
4072,6.542471960506805
24321,6.309918278226516
13649,5.560681631015528
28839,5.501258210544727
10240,5.575949103146316
1065,6.309918278226516
23272,5.135798437050262
2855,6.35088571671474
21143,7.065613363597717
10423,8.237743803890933
376,4.976733742420574
27043,6.621405651764134
23127,6.55250788703459
15949,5.4638318050256105
26883,5.303304908059076
833,5.846438775057725
17398,4.976733742420574
20634,5.4510384535657
17940,4.990432586778736
5050,6.364750756851911
14058,5.937536205082426
27189,8.319717386850606
12976,5.860786223465865
13340,5.831882477283517
6759,6.551080335043404
14464,5.8664680569332965
27093,5.3230099791384085
3073,7.04141166379481
6275,7.02197642307216
15276,5.707110264748875
